date,open,high,low,close,adj_close,volume,symbol,currency,ret,log_ret
27-06-2024,3831,3942,3818.1,3934.15,3783.86,4526556,Sun Pharmaceutical Industries L,INR,0.02030680654071082,0.02010337279390484
28-06-2024,3917.8,3960,3897.85,3904.15,3755.01,2731571,Sun Pharmaceutical Industries L,INR,-0.007625535,-0.007654758
01-07-2024,3884,4001.7,3884,3978.2,3826.23,2658723,Sun Pharmaceutical Industries L,INR,0.018966996657402868,0.018789365744941833
02-07-2024,3993.6,4023.4,3982.55,4017.4,3863.93,2307449,Sun Pharmaceutical Industries L,INR,0.009853702679603948,0.00980547152948752
03-07-2024,4020,4026.1,3955,3965.25,3813.77,1821198,Sun Pharmaceutical Industries L,INR,-0.012981033,-0.013066022
04-07-2024,3999.85,4047.35,3982.1,4020.95,3867.35,2518001,Sun Pharmaceutical Industries L,INR,0.014047033604438486,0.013949288318562125
05-07-2024,4010,4026.75,3988,4011.8,3858.55,1668616,Sun Pharmaceutical Industries L,INR,-0.002275582,-0.002278175
08-07-2024,4022,4031.25,3978.05,3993.2,3840.66,1758882,Sun Pharmaceutical Industries L,INR,-0.004636323,-0.004647104
09-07-2024,3985,4006.95,3975.1,3985.5,3833.25,1305801,Sun Pharmaceutical Industries L,INR,-0.001928278,-0.00193014
10-07-2024,3983.7,4003.3,3902,3909.15,3759.82,2669716,Sun Pharmaceutical Industries L,INR,-0.019156944,-0.019342816
11-07-2024,3931,3980,3895.6,3923.7,3773.81,4872189,Sun Pharmaceutical Industries L,INR,0.003722036759909342,0.003715127121067141
12-07-2024,3980,4199.95,3971.3,4183.95,4024.12,13509164,Sun Pharmaceutical Industries L,INR,0.06632770089456375,0.06422069022332977
15-07-2024,4235.7,4240,4157.05,4169.2,4009.93,4848030,Sun Pharmaceutical Industries L,INR,-0.003525377,-0.003531606
16-07-2024,4172,4194.55,4144.9,4178.45,4018.83,2029521,Sun Pharmaceutical Industries L,INR,0.0022186510601553966,0.00221619348821811
18-07-2024,4160,4325,4160,4315.55,4150.69,5613364,Sun Pharmaceutical Industries L,INR,0.03281120989840747,0.03228441438218077
19-07-2024,4317.4,4358.75,4285.25,4302.4,4147.66,3903354,Sun Pharmaceutical Industries L,INR,-0.00304712,-0.003051772
19-07-2024,10 Dividend,,,,,,Sun Pharmaceutical Industries L,INR,,
22-07-2024,4299.95,4319.95,4265,4287.35,4133.15,1896386,Sun Pharmaceutical Industries L,INR,,
23-07-2024,4283,4361.7,4266.3,4302.35,4147.61,2365208,Sun Pharmaceutical Industries L,INR,0.0034986646763150997,0.0034925585870180242
24-07-2024,4287.5,4339.1,4268.1,4306.25,4151.37,1809793,Sun Pharmaceutical Industries L,INR,0.0009064813415922135,0.0009060707354997533
25-07-2024,4295,4343,4274.2,4322.5,4167.03,2810342,Sun Pharmaceutical Industries L,INR,0.0037735849056603765,0.0037664827954770885
26-07-2024,4350,4422.45,4337.05,4387.85,4230.03,3552210,Sun Pharmaceutical Industries L,INR,0.015118565644881565,0.015005419114823226
29-07-2024,4415,4431,4371,4381.1,4223.52,1746803,Sun Pharmaceutical Industries L,INR,-0.001538339,-0.001539523
30-07-2024,4391.1,4398,4327.3,4365.35,4208.34,1797906,Sun Pharmaceutical Industries L,INR,-0.003594988,-0.003601465
31-07-2024,4350,4414,4345,4385.35,4227.62,2330091,Sun Pharmaceutical Industries L,INR,0.004581534126702369,0.00457107084564079
01-08-2024,4399.4,4419.3,4365.05,4397.1,4238.95,2202244,Sun Pharmaceutical Industries L,INR,0.002679375648465987,0.0026757925204687893
02-08-2024,4365,4398,4270,4283.05,4129,2811282,Sun Pharmaceutical Industries L,INR,-0.02593755,-0.02627986
05-08-2024,4239,4239,4110.5,4155.05,4005.61,2787771,Sun Pharmaceutical Industries L,INR,-0.029885245,-0.030340911
06-08-2024,4170.95,4258.25,4160.8,4171.2,4021.17,2203067,Sun Pharmaceutical Industries L,INR,0.003886836500162305,0.0038793022677481304
07-08-2024,4228,4244.95,4180.3,4200.45,4049.37,1237666,Sun Pharmaceutical Industries L,INR,0.007012370540851576,0.006987898209979804
08-08-2024,4181,4232,4160,4172.55,4022.48,2441283,Sun Pharmaceutical Industries L,INR,-0.006642145,-0.006664303
09-08-2024,4217,4253.65,4205.55,4228.75,4076.65,1302536,Sun Pharmaceutical Industries L,INR,0.013468981797701618,0.013379081407238758
12-08-2024,4230,4239,4186.35,4195.65,4044.75,936912,Sun Pharmaceutical Industries L,INR,-0.007827372,-0.007858167
13-08-2024,4213,4234,4183,4196.95,4046,1495593,Sun Pharmaceutical Industries L,INR,0.0003098447201268506,0.0003097967281640024
14-08-2024,4209,4306.2,4188.15,4295.25,4140.76,3226545,Sun Pharmaceutical Industries L,INR,0.023421770571486533,0.023151689950832832
